Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
27,Chocó,27000,Chocó,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.81,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27006,Acandí,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.58,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27025,Alto Baudó,Educación,Logro  ,Tasa de Analfabetismo (Censo),28.61,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27050,Atrato,Educación,Logro  ,Tasa de Analfabetismo (Censo),16.4,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27073,Bagadó,Educación,Logro  ,Tasa de Analfabetismo (Censo),25.87,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27075,Bahía Solano,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.73,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27077,Bajo Baudó,Educación,Logro  ,Tasa de Analfabetismo (Censo),25.27,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27099,Bojayá,Educación,Logro  ,Tasa de Analfabetismo (Censo),19.75,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27135,El Cantón del San Pablo,Educación,Logro  ,Tasa de Analfabetismo (Censo),16.09,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27150,Carmen del Darién,Educación,Logro  ,Tasa de Analfabetismo (Censo),16.88,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27160,Cértegui,Educación,Logro  ,Tasa de Analfabetismo (Censo),17.84,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27205,Condoto,Educación,Logro  ,Tasa de Analfabetismo (Censo),10.97,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27245,El Carmen de Atrato,Educación,Logro  ,Tasa de Analfabetismo (Censo),13.57,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27250,El Litoral del San Juan,Educación,Logro  ,Tasa de Analfabetismo (Censo),19.13,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27361,Istmina,Educación,Logro  ,Tasa de Analfabetismo (Censo),11.16,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27372,Juradó,Educación,Logro  ,Tasa de Analfabetismo (Censo),13.08,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27413,Lloró,Educación,Logro  ,Tasa de Analfabetismo (Censo),25.49,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27425,Medio Atrato,Educación,Logro  ,Tasa de Analfabetismo (Censo),22.93,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27430,Medio Baudó,Educación,Logro  ,Tasa de Analfabetismo (Censo),27.7,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27450,Medio San Juan,Educación,Logro  ,Tasa de Analfabetismo (Censo),20.26,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27491,Nóvita,Educación,Logro  ,Tasa de Analfabetismo (Censo),18.27,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27495,Nuquí,Educación,Logro  ,Tasa de Analfabetismo (Censo),16.9,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27580,Río Iró,Educación,Logro  ,Tasa de Analfabetismo (Censo),27.95,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27600,Río Quito,Educación,Logro  ,Tasa de Analfabetismo (Censo),21.04,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27615,Riosucio,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.85,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27660,San José del Palmar,Educación,Logro  ,Tasa de Analfabetismo (Censo),18.87,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27745,Sipí,Educación,Logro  ,Tasa de Analfabetismo (Censo),19.62,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27787,Tadó,Educación,Logro  ,Tasa de Analfabetismo (Censo),15.66,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27800,Unguía,Educación,Logro  ,Tasa de Analfabetismo (Censo),11.9,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
27,Chocó,27810,Unión Panamericana,Educación,Logro  ,Tasa de Analfabetismo (Censo),11.46,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41000,Huila,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.61,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41006,Acevedo,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.67,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41013,Agrado,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.6,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41016,Aipe,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.41,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41020,Algeciras,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.6,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41026,Altamira,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.81,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41078,Baraya,Educación,Logro  ,Tasa de Analfabetismo (Censo),12.21,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41132,Campoalegre,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.63,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41206,Colombia,Educación,Logro  ,Tasa de Analfabetismo (Censo),10.58,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41244,Elías,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.02,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41298,Garzón,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.62,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41306,Gigante,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.43,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41319,Guadalupe,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.91,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41349,Hobo,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.05,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41357,Iquira,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.01,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41359,Isnos,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.92,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41378,La Argentina,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.39,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41396,La Plata,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.76,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41483,Nátaga,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.31,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41503,Oporapa,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.52,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41518,Paicol,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.01,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41524,Palermo,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.0,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41530,Palestina,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.85,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41548,Pital,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.71,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41551,Pitalito,Educación,Logro  ,Tasa de Analfabetismo (Censo),4.45,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41615,Rivera,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.48,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41660,Saladoblanco,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.12,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41668,San Agustín,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.19,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41676,Santa María,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.69,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41770,Suaza,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.97,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41791,Tarqui,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.34,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41797,Tesalia,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.14,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41799,Tello,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.75,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41801,Teruel,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.25,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41807,Timaná,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.08,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41872,Villavieja,Educación,Logro  ,Tasa de Analfabetismo (Censo),10.01,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
41,Huila,41885,Yaguará,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.2,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44000,La Guajira,Educación,Logro  ,Tasa de Analfabetismo (Censo),17.02,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44035,Albania,Educación,Logro  ,Tasa de Analfabetismo (Censo),11.69,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44078,Barrancas,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.85,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44090,Dibulla,Educación,Logro  ,Tasa de Analfabetismo (Censo),26.63,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44098,Distracción,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.45,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44110,El Molino,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.25,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44279,Fonseca,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.49,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44378,Hatonuevo,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.48,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44420,La Jagua del Pilar,Educación,Logro  ,Tasa de Analfabetismo (Censo),11.36,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44430,Maicao,Educación,Logro  ,Tasa de Analfabetismo (Censo),12.21,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44560,Manaure,Educación,Logro  ,Tasa de Analfabetismo (Censo),33.5,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44650,San Juan del Cesar,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.53,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44847,Uribia,Educación,Logro  ,Tasa de Analfabetismo (Censo),34.59,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44855,Urumita,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.62,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
44,La Guajira,44874,Villanueva,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.0,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47000,Magdalena,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.11,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47030,Algarrobo,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.29,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47053,Aracataca,Educación,Logro  ,Tasa de Analfabetismo (Censo),12.57,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47058,Ariguaní,Educación,Logro  ,Tasa de Analfabetismo (Censo),13.83,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47161,Cerro San Antonio,Educación,Logro  ,Tasa de Analfabetismo (Censo),22.39,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47170,Chibolo,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.56,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47189,Ciénaga,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.3,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47205,Concordia,Educación,Logro  ,Tasa de Analfabetismo (Censo),21.74,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47245,El Banco,Educación,Logro  ,Tasa de Analfabetismo (Censo),12.18,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47258,El Piñón,Educación,Logro  ,Tasa de Analfabetismo (Censo),18.65,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47268,El Retén,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.24,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47288,Fundación,Educación,Logro  ,Tasa de Analfabetismo (Censo),10.02,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47318,Guamal,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.61,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47460,Nueva Granada,Educación,Logro  ,Tasa de Analfabetismo (Censo),15.18,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47541,Pedraza,Educación,Logro  ,Tasa de Analfabetismo (Censo),16.46,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47545,Pijiño del Carmen,Educación,Logro  ,Tasa de Analfabetismo (Censo),12.85,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47551,Pivijay,Educación,Logro  ,Tasa de Analfabetismo (Censo),15.16,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47555,Plato,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.54,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47570,Puebloviejo,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.8,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47605,Remolino,Educación,Logro  ,Tasa de Analfabetismo (Censo),16.76,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47660,Sabanas de San Ángel,Educación,Logro  ,Tasa de Analfabetismo (Censo),20.79,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47675,Salamina,Educación,Logro  ,Tasa de Analfabetismo (Censo),13.92,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47692,San Sebastián de Buenavista,Educación,Logro  ,Tasa de Analfabetismo (Censo),12.44,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47703,San Zenón,Educación,Logro  ,Tasa de Analfabetismo (Censo),13.9,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47707,Santa Ana,Educación,Logro  ,Tasa de Analfabetismo (Censo),12.23,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47720,Santa Bárbara de Pinto,Educación,Logro  ,Tasa de Analfabetismo (Censo),15.77,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47745,Sitionuevo,Educación,Logro  ,Tasa de Analfabetismo (Censo),18.97,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47798,Tenerife,Educación,Logro  ,Tasa de Analfabetismo (Censo),15.82,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47960,Zapayán,Educación,Logro  ,Tasa de Analfabetismo (Censo),18.99,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
47,Magdalena,47980,Zona Bananera,Educación,Logro  ,Tasa de Analfabetismo (Censo),10.82,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50000,Meta,Educación,Logro  ,Tasa de Analfabetismo (Censo),4.26,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50006,Acacías,Educación,Logro  ,Tasa de Analfabetismo (Censo),3.23,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50110,Barranca de Upía,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.25,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50124,Cabuyaro,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.41,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50150,Castilla La Nueva,Educación,Logro  ,Tasa de Analfabetismo (Censo),4.01,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50223,Cubarral,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.36,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50226,Cumaral,Educación,Logro  ,Tasa de Analfabetismo (Censo),4.56,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50245,El Calvario,Educación,Logro  ,Tasa de Analfabetismo (Censo),2.4,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50251,El Castillo,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.76,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50270,El Dorado,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.09,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50287,Fuente de Oro,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.8,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50313,Granada,Educación,Logro  ,Tasa de Analfabetismo (Censo),4.98,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50318,Guamal,Educación,Logro  ,Tasa de Analfabetismo (Censo),4.11,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50325,Mapiripán,Educación,Logro  ,Tasa de Analfabetismo (Censo),13.46,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50330,Mesetas,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.58,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50350,La Macarena,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.36,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50370,Uribe,Educación,Logro  ,Tasa de Analfabetismo (Censo),10.99,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50400,Lejanías,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.84,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50450,Puerto Concordia,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.97,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50568,Puerto Gaitán,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.94,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50573,Puerto López,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.37,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50577,Puerto Lleras,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.91,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50590,Puerto Rico,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.22,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50606,Restrepo,Educación,Logro  ,Tasa de Analfabetismo (Censo),3.02,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50680,San Carlos de Guaroa,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.01,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50683,San Juan de Arama,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.74,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50686,San Juanito,Educación,Logro  ,Tasa de Analfabetismo (Censo),2.59,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50689,San Martín,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.1,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
50,Meta,50711,Vistahermosa,Educación,Logro  ,Tasa de Analfabetismo (Censo),10.4,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52000,Nariño,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.38,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52019,Albán,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.4,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52022,Aldana,Educación,Logro  ,Tasa de Analfabetismo (Censo),5.02,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52036,Ancuyá,Educación,Logro  ,Tasa de Analfabetismo (Censo),8.1,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52051,Arboleda,Educación,Logro  ,Tasa de Analfabetismo (Censo),12.66,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52079,Barbacoas,Educación,Logro  ,Tasa de Analfabetismo (Censo),22.74,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52083,Belén,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.43,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52110,Buesaco,Educación,Logro  ,Tasa de Analfabetismo (Censo),10.5,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52203,Colón,Educación,Logro  ,Tasa de Analfabetismo (Censo),14.01,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52207,Consacá,Educación,Logro  ,Tasa de Analfabetismo (Censo),11.01,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52210,Contadero,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.4,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52215,Córdoba,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.33,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52224,Cuaspud,Educación,Logro  ,Tasa de Analfabetismo (Censo),6.08,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52227,Cumbal,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.88,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52233,Cumbitara,Educación,Logro  ,Tasa de Analfabetismo (Censo),7.82,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
52,Nariño,52240,Chachagüí,Educación,Logro  ,Tasa de Analfabetismo (Censo),9.23,,2018,12,DANE a partir de Censo 2018,Porcentaje (el valor está multiplicado por 100)
